Site name,Latitude,Longitude,N,HW,LD,AO,AR,HS,FIS
ALF-1,43.50788,-70.76709,23,0,0,11.3,5.12,0.855,0.065
AMH-1,44.856017,-68.415817,23,0,0,11.3,4.91,0.799,0.014
AMH-2,44.831733,-68.41081,40,0,2,13,4.98,0.806,0.063
AMH-3,44.8625,-68.396077,17,0,0,10.4,5,0.831,0.002
AMH-4,44.855217,-68.411587,17,0,0,10.1,4.96,0.811,0.067
BAN-2,44.79044,-68.83422,27,0,0,11.4,4.81,0.789,-0.023
BAN-3,44.79794,-68.83723,19,0,2,10.5,4.94,0.816,0.181
BAN-7,44.80195,-68.78882,26,0,1,8.1,4.17,0.745,0.044
BEN-1,44.58715,-69.51235,43,0,3,13.6,5.21,0.837,0
BRU-1,43.89274,-69.98714,58,1,6,13.9,5.35,0.863,0.03
BRU-2,43.935533,-70.008217,28,0,0,12.6,5.13,0.851,0.026
BRU-3,43.916783,-69.98465,74,1,1,15.4,5.37,0.861,0.044
BUX-1,43.59865,-70.469383,33,0,2,13.4,5.17,0.847,0.014
CUM-1,43.819133,-70.252717,62,2,1,14,5.4,0.876,0.052
EDG-1,43.97081,-69.58153,27,1,3,10.9,4.91,0.834,0.062
EDM-1,44.8853,-67.2789,24,0,0,10.7,4.74,0.768,0.081
ELL-1,44.60868,-68.36858,26,0,2,9.7,4.63,0.778,0.003
FAL-1,43.80073,-69.75086,19,0,0,8,4.48,0.794,-0.008
FRA-1,44.627483,-68.904683,23,0,1,10.8,4.89,0.823,0.046
FRE-1,43.856667,-70.080133,15,0,0,9.8,5.1,0.854,0.055
FRE-2,43.87105,-70.110917,61,1,1,14.9,5.22,0.853,0.053
FRE-3,43.8005,-70.1331,18,0,0,9.6,4.77,0.831,0.086
GLS-1,45.17524,-67.82938,27,0,0,10.8,4.79,0.775,0.028
GLS-3,45.18357,-67.965,21,2,0,10.9,4.76,0.785,0.121
GRE-3,45.695279,-69.46204,58,0,0,13.8,5.14,0.831,0.045
GRE-4,45.708404,-69.669413,39,0,0,12.9,5.06,0.832,0.002
HAM-1,44.78044,-68.79021,50,0,4,12,4.96,0.797,-0.001
HAM-2,44.87251,-68.70609,17,0,2,9.9,4.75,0.805,0.021
HAM-3,44.725234,-68.839386,19,0,0,11,5.01,0.826,0.026
HAM-4,44.72599,-68.83836,16,0,0,10.4,4.91,0.795,0.036
HAM-6,44.76887,-68.81382,16,0,0,10.4,4.97,0.808,0.107
JEF-2,44.13133,-69.5752,31,0,0,12.8,5.18,0.841,0.038
JEF-3,44.22778,-69.46122,37,0,2,12.9,5.15,0.839,-0.004
JEF-4,44.1574,-69.57211,30,0,1,12.7,5.19,0.837,0.039
JON-1,44.70088,-67.5263,29,0,0,11.3,4.78,0.769,0.033
LOV-1,44.2119,-70.87366,23,1,0,13,5.26,0.865,0.049
LOV-2,44.18099,-70.9356,25,0,0,12,5.17,0.861,0.026
MAC-1,44.72039,-67.5263,19,0,0,8.7,4.43,0.748,0.03
MNT-1,44.44843,-69.30656,16,0,0,10.5,5.04,0.835,0.012
NEW-1,43.9913,-69.5885,26,0,0,11.3,5.02,0.835,0.015
OGU-1,43.24324,-70.61281,28,1,0,13.4,5.23,0.86,0.065
ORO-1,44.888583,-68.78225,26,0,0,11.4,4.99,0.816,-0.002
ORO-4,44.895533,-68.722867,32,0,1,10.7,4.83,0.801,-0.018
ORO-7,44.8981,-68.68752,12,0,0,8.8,4.74,0.791,-0.033
ORO-8,44.87286,-68.70531,23,0,0,11.2,4.96,0.808,0.004
OT-2,44.93884,-68.68915,26,0,0,11.6,4.93,0.805,0.031
OT-5,44.93901,-68.6713,21,0,0,11.2,5,0.807,0.027
PHI-1,44.82591,-70.40891,22,0,0,12.1,5.23,0.853,-0.014
PIT-1,44.79525,-69.3681,44,3,1,13.6,5.41,0.863,0.085
POW-1,43.94315,-70.203017,28,0,0,12.5,5.21,0.856,-0.014
SBR-1,43.87555,-69.56431,33,0,1,10.7,4.77,0.798,-0.013
SCA-1,43.55003,-70.36169,30,0,4,10.3,4.85,0.832,0.03
SCA-2,43.60163,-70.38015,31,1,0,12.7,5.23,0.851,0.061
SEA-1,44.49271,-68.93039,26,0,2,10.1,4.82,0.805,-0.005
SEB-1,43.90471,-70.67239,27,0,0,13.4,5.19,0.849,-0.011
SHA-1,43.50199,-70.79466,29,0,0,12,5.07,0.834,0.054
SID-1,44.42603,-69.70481,26,1,0,12.2,5.09,0.845,0.054
SKO-1,44.7757,-69.74332,28,0,0,12.3,5.11,0.838,0.007
SKO-2,44.76549,-69.59269,20,0,2,10.9,5.02,0.834,0.035
STA-1,44.77255,-69.91174,38,0,0,13.6,5.22,0.842,0.043
STA-2,44.77752,-69.92757,19,0,0,10.8,5.13,0.857,0.063
SUL-1,44.52482,-68.16853,22,0,1,10.2,4.81,0.792,0.029
TAT-1,43.28084,-70.69041,18,0,0,11,4.96,0.83,-0.004
