pop	mean.Hobs	mean.Hexp	mean.Fis	basin	habitat	pair	lat	long	sampleSet
ALP01	0.1994586539420743	0.20256214212083928	0.013079318799875173	huron	gl	NA	45.057901	-83.410492	1
ARC01	0.19549957769427725	0.19613961849595526	-0.010148981732905455	michigan	gl	NA	44.33098	-86.29131	1
ASH01	0.193982183353839	0.19866826616121308	0.01763065052670486	erie	gl	NA	41.94512	-80.77611	1
AUS01	0.20524997838592757	0.21102603664416586	0.02273682087482667	huron	gl	a	44.405466	-83.322567	1,2
AUS02	0.19859230871545905	0.20419470288963523	0.020966796472852604	huron	river	a	44.456798	-83.677274	1,2
CAL09	0.1654125428124896	0.16773544042829117	0.00980361562141607	michigan	gl	x	41.7353	-87.52889	3
CEC01	0.19072913909486916	0.19484275596049613	0.015893530300814196	michigan	river	b	43.3058	-86.115	1,2
CHA01	0.18914393309613275	0.19698428823196887	0.027692674776099453	erie	gl	NA	41.72695	-81.39677	1
ELR01	0.17582149436371497	0.17674126292687792	0.003332603514217616	michigan	gl	NA	44.91593	-85.42096	1
ESC09	0.176974905993145	0.180746715548413	-0.0025605583497339446	michigan	gl	NA	45.743375	-87.04208	1
GAL01	0.1753632860040568	0.17930293286336582	0.014907212486017153	michigan	river	c	41.819096	-86.687995	1,2
GRH02	0.19135786253449938	0.19387492435074652	0.0016649252428878939	michigan	gl	d	43.10101	-86.29993	1,2
HBE01	0.20777540318558174	0.2108430352808167	0.008799498327759198	huron	gl	NA	43.85635	-82.64811	1
HOL01	0.17723131712832108	0.17915709772885977	0.006453433368661796	michigan	gl	w	42.77317	-86.20873	1,3
HOL09	0.17324756758554186	0.1751315864729159	0.009418127711647567	michigan	gl	w	42.77317	-86.20873	3
HUR01	0.19594432214943638	0.20008103947062147	0.016333528108948683	erie	river	e	42.097	-83.29695	1,2
IND01	0.16634385661556877	0.16736016692714395	0.002327191391609237	michigan	gl	x	41.69159	-87.4437	1,3
KEN09	0.1776602101552888	0.19038319422738004	0.05123845685588191	michigan	gl	NA	42.588862	-87.811166	1
LEX01	0.2078606191600439	0.21209558740398363	0.012230793445450626	huron	gl	g	43.26981	-82.52351	1,2
LTB01	0.20342011240065178	0.2037049926578561	-0.028919626681306616	michigan	gl	NA	45.42101	-84.9374	1
MAC01	0.20578073687360757	0.2096171948259236	0.013997484499557131	huron	gl	NA	45.783	-84.7182	1
MAN01	0.19761816247131977	0.1987154390981944	0.0017734624260058198	michigan	gl	f	44.251104	-86.344565	1,2
MAN02	0.1879902171382968	0.19158339041665282	0.014079701869631126	michigan	river	f	44.292289	-86.148677	1,2
MCR01	0.20085190037575235	0.20488343364479766	0.014186566085463908	huron	river	g	43.12235	-82.79517	1,2
MIL01	0.19344902404149902	0.1978501945266518	0.013605418535127057	michigan	gl	y	43.03473	-87.89189	1,3
MIL09	0.1922309380507432	0.19664015229607953	0.017937957975445236	michigan	gl	y	43.0361	-87.8929	3
MON01	0.20601417883151	0.20978913643467562	0.011707034965034965	erie	gl	e	41.90598	-83.26688	1,2
MSK02	0.18732442390183887	0.19380704286236825	0.024952139224560257	michigan	gl	b,z	43.2233	-86.3399	1,2,3
MSK09	0.1851970671366342	0.18841196089515513	0.011101453012645673	michigan	gl	z	43.2233	-86.3399	3
MWK09	0.1884980613839657	0.19394589831410236	0.022517204957281003	michigan	gl	NA	44.09495	-87.64931	1
NAU01	0.20364100355800885	0.2038003158979816	0.00203420054678543	michigan	gl	NA	46.087093	-85.444754	1
NWB01	0.18509397798689856	0.18626250789744953	0.004132858713029575	michigan	gl	c	41.80073	-86.747668	1,2
PTA01	0.20543669071924983	0.21300429621254946	0.025997282519322477	huron	gl	NA	44.048612	-82.996434	1
RGC01	0.20898246932464337	0.21316162338310113	0.014296862182116487	huron	gl	NA	45.4188	-83.7969	1
ROC01	0.18959354903069198	0.19306643833338874	0.01489191044049647	ontario	gl	NA	43.32997833	-77.54241167	1
SAB01	0.19490469524157883	0.198954500714927	0.01359603143986884	huron	gl	NA	44.00003	-83.62661	1
SAB04	0.20746052272802845	0.21041296844345425	0.004176577111473951	huron	gl	h	43.83095	-83.57046	1,2
SBR01	0.16158580121703853	0.16438336381471752	0.01174045607058531	michigan	river	NA	42.315959	-86.11417	1
SHI02	0.1743175506268081	0.17806978020150965	0.01561584872471416	huron	river	NA	42.815836	-83.781561	1
SHR01	0.19908096631529945	0.20291749742293752	0.012532571168298793	huron	river	h	43.2564	-84.1096	1,2
SMO01	0.1883094037841253	0.19337411545623837	0.017170062346916055	ontario	gl	NA	43.33116667	-77.312735	1
SND01	0.16355209656502512	0.16600675356632194	0.010587432259635874	michigan	river	d	42.97466	-85.8322	1,2
STC02	0.20934934991520635	0.21497488444784357	0.01901485897179436	stclair	gl	NA	42.594233	-82.76949	1
STJ01	0.16978915306088518	0.172412715725069	0.013233167210860973	michigan	river	NA	41.94727	-86.3277	1
STJ09	0.1746625877032554	0.17965457054500714	0.019198706584155654	michigan	gl	NA	42.114935	-86.490517	1
STL02	0.20794878121778457	0.21048241104090457	0.008706994462717015	superior	gl	NA	46.74522	-92.06771	1
