scientific_name,common_name
Agelaius phoeniceus,Red-winged Blackbird
Bubo virginianus,Great Horned Owl
Regulus satrapa,Golden-crowned Kinglet
Anas platyrhynchos,Mallard
Fulica americana,American Coot
Meleagris gallopavo,Wild Turkey
Catharus guttatus,Hermit Thrush
Bucephala albeola,Bufflehead
Cygnus columbianus,Tundra Swan
Spatula clypeata,Northern Shoveler
Aix sponsa,Wood Duck
Spatula discors,Blue-winged Teal
Aythya marila,Greater Scaup
Setophaga coronata,Yellow-rumped Warbler
Aythya valisineria,Canvasback
Sialia sialis,Eastern Bluebird
Molothrus ater,Brown-headed Cowbird
Turdus migratorius,American Robin
Colaptes auratus,Northern Flicker
Catharus ustulatus,Swainson's Thrush
Toxostoma rufum,Brown Thrasher
Sayornis phoebe,Eastern Phoebe
Antigone canadensis,Sandhill Crane
Grus americana,Whooping Crane
Sturnella magna,Eastern Meadowlark
Spinus tristis,American Goldfinch
Egretta thula,Snowy Egret
Branta canadensis,Canada Goose
Cardinalis cardinalis,Northern Cardinal
Mimus polyglottos,Northern Mockingbird
Piranga rubra,Summer Tanager
Calidris alpina,Dunlin
Cygnus buccinator,Trumpeter Swan
Setophaga castanea,Bay-breasted Warbler
Setophaga tigrina,Cape May Warbler
Setophaga pensylvanica,Chestnut-sided Warbler
Asio flammeus,Short-eared Owl
Haliaeetus leucocephalus,Bald Eagle
Plectrophenax nivalis,Snow Bunting
Xanthocephalus xanthocephalus,Yellow-headed Blackbird
Aythya americana,Redhead
Setophaga fusca,Blackburnian Warbler
Setophaga virens,Black-throated Green Warbler
Setophaga caerulescens,Black-throated Blue Warbler
Setophaga ruticilla,American Redstart
Leiothlypis peregrina,Tennessee Warbler
Setophaga palmarum,Palm Warbler
Piranga olivacea,Scarlet Tanager
Oxyura jamaicensis,Ruddy Duck
Phasianus colchicus,Ring-necked Pheasant
Falco sparverius,American Kestrel
Aythya collaris,Ring-necked Duck
Calidris melanotos,Pectoral Sandpiper
Troglodytes aedon,House Wren
Zenaida macroura,Mourning Dove
Ardea herodias,Great Blue Heron
Passerina cyanea,Indigo Bunting
Melospiza melodia,Song Sparrow
Buteo jamaicensis,Red-tailed Hawk
Pandion haliaetus,Osprey
Spizelloides arborea,American Tree Sparrow
Junco hyemalis,Dark-eyed Junco
Cyanocitta cristata,Blue Jay
Melanerpes carolinus,Red-bellied Woodpecker
Dryobates pubescens,Downy Woodpecker
Setophaga petechia,Yellow Warbler
Geothlypis trichas,Common Yellowthroat
Melospiza melodia melodia,Eastern Song Sparrow
Haemorhous mexicanus,House Finch
Megaceryle alcyon,Belted Kingfisher
Antrostomus vociferus,Eastern Whip-poor-will
Poecile atricapillus,Black-capped Chickadee
Contopus virens,Eastern Wood-Pewee
Vireo olivaceus,Red-eyed Vireo
Catharus fuscescens,Veery
Actitis macularius,Spotted Sandpiper
Chordeiles minor,Common Nighthawk
Sphyrapicus varius,Yellow-bellied Sapsucker
Tachycineta bicolor,Tree Swallow
Hylocichla mustelina,Wood Thrush
Pheucticus ludovicianus,Rose-breasted Grosbeak
Spizella passerina,Chipping Sparrow
Icterus galbula,Baltimore Oriole
Larus delawarensis,Ring-billed Gull
Sterna,Typical Terns
Sitta canadensis,Red-breasted Nuthatch
Dryobates villosus villosus,Eastern Hairy Woodpecker
Zonotrichia albicollis,White-throated Sparrow
Empidonax traillii,Willow Flycatcher
Progne subis,Purple Martin
Bombycilla cedrorum,Cedar Waxwing
Dryocopus pileatus,Pileated Woodpecker
Sitta carolinensis,White-breasted Nuthatch
Certhia americana,Brown Creeper
Cathartes aura,Turkey Vulture
Acanthis flammea,Common Redpoll
Lophodytes cucullatus,Hooded Merganser
Mergus serrator,Red-breasted Merganser
Ardea alba,Great Egret
Scolopax minor,American Woodcock
Tympanuchus cupido,Greater Prairie-Chicken
Eremophila alpestris,Horned Lark
Loxia leucoptera,White-winged Crossbill
Gallinago delicata,Wilson's Snipe
Pipilo erythrophthalmus,Eastern Towhee
Melanerpes erythrocephalus,Red-headed Woodpecker
Podiceps nigricollis,Eared Grebe
Spizella pusilla,Field Sparrow
Podilymbus podiceps,Pied-billed Grebe
Circus hudsonius,Northern Harrier
Porzana carolina,Sora
Tringa solitaria,Solitary Sandpiper
Baeolophus bicolor,Tufted Titmouse
Tyrannus tyrannus,Eastern Kingbird
Archilochus colubris,Ruby-throated Hummingbird
Dumetella carolinensis,Gray Catbird
Calidris minutilla,Least Sandpiper
Icterus spurius,Orchard Oriole
Polioptila caerulea,Blue-gray Gnatcatcher
Seiurus aurocapilla,Ovenbird
Aves,Birds
Nycticorax nycticorax,Black-crowned Night-Heron
Butorides virescens,Green Heron
Meleagris gallopavo silvestris,Eastern Wild Turkey
Corvus brachyrhynchos,American Crow
Buteo lagopus,Rough-legged Hawk
Phalacrocorax auritus,Double-crested Cormorant
Pelecanus erythrorhynchos,American White Pelican
Hirundo rustica,Barn Swallow
