pop,ar,he,lat,distToGL
BigManistiqueLake,5.744867,0.6631929,46.231,30
BrownsLake,4.125578,0.5042786,42.1883,104
ElkLake,8.28839,0.7307071,44.8508,1
GlenLake,8.275062,0.7250929,44.8624,2
GreenLake,7.738581,0.6567429,42.7508,51
HarwoodLake,3.821855,0.5186,41.928,69
HowardLake,4.049011,0.52665,42.0821,74
LimeLake,5.986297,0.6376,42.5582,62
LittleTraverseBay,8.300265,0.7081214,45.3995,0
MurrayLake,6.040801,0.6324857,43.0346,70
NorthLakeLeelanau,7.762651,0.7254,45.0258,1
NorthSandLake,4.758267,0.5024286,41.942,115
NorthernLakeHuron,9.019914,0.7668357,45.9642,0
WalloonLake,8.224716,0.7393714,45.274,8
