SID,YEAR,MONTH,DAY,LAKE,STATE_PROV,SITE,ST_SITE,LATITUDE,LONGITUDE,GRID,STAT_DIST,LS_MGMT,SPECIES,STRAIN,NO_STOCKED,YEAR_CLASS,STAGE,AGEMONTH,MARK,MARK_EFF,TAG_NO,TAG_RET,LENGTH,WEIGHT,CONDITION,LOT_CODE,STOCK_METH,AGENCY,VALIDATION,NOTES
20190003,2018,5,9,MI,MI,Dahlia Shoal (reef summit),,45.63,-85.2,417,MM3,,LAT,LLW,59892,2017,y,16,ADCWT,98.7,641041,97.7,149.1,1646.994,1,LAT-LLW-17-SAR(IRR)(PEC),b,USFWS,2,FIS_ID=147983
20190004,2018,5,9,MI,MI,Dahlia Shoal (reef summit),,45.63,-85.2,417,MM3,,LAT,HPW,60025,2017,y,16,ADCWT,97.4,641039,95.8,156.71,1916.428,1,LAT-HPW-17-HIF(JOR)(PEC),b,USFWS,2,FIS_ID=147996
20190005,2018,5,16,MI,MI,Dahlia Shoal (reef summit),,45.63,-85.2,417,MM3,,LAT,SLW,59646,2017,y,16,ADCWT,99.7,641040,99,160.78,2062.938,1,LAT-SLW-17-HIF(PEC),b,USFWS,2,FIS_ID=148043
20190006,2018,5,13,MI,MI,South Fox Island Trench,,45.35,-85.5,515,MM3,,LAT,SLW,59712,2017,y,16,ADCWT,100,641042,98.4,159,1997.167,1,LAT-SLW-17-HIF(JOR)(PEC),b,USFWS,2,FIS_ID=148045
20190007,2018,5,13,MI,MI,South Fox Island Trench,,45.35,-85.5,515,MM3,,LAT,SLW,59926,2017,y,16,ADCWT,100,641042,98.4,158.5,1977.663,1,LAT-SLW-17-HIF(JOR)(PEC),b,USFWS,2,FIS_ID=148054
20190008,2018,5,11,MI,MI,South Fox Island Trench,,45.35,-85.5,515,MM3,,LAT,LLW,59965,2017,y,16,ADCWT,98.7,641043,98,157.99,1966.323,1,LAT-LLW-17-SAR(IRR)(PEC),b,USFWS,2,FIS_ID=148056
20190009,2018,5,12,MI,MI,South Fox Island Trench,,45.35,-85.5,515,MM3,,LAT,LLW,58366,2017,y,16,ADCWT,98.7,641043,98,152.65,1721.383,1,LAT-LLW-17-SAR(IRR)(PEC),b,USFWS,2,FIS_ID=148064
20190010,2018,5,11,MI,MI,South Fox Island Trench,,45.35,-85.5,515,MM3,,LAT,HPW,58681,2017,y,16,ADCWT,100,641044,98.7,157.99,1924.139,1,LAT-HPW-17-HIF(JOR)(PEC),b,USFWS,2,FIS_ID=148066
20190011,2018,5,12,MI,MI,South Fox Island Trench,,45.35,-85.5,515,MM3,,LAT,HPW,59986,2017,y,16,ADCWT,100,641044,98.7,152.9,1783.072,1,LAT-HPW-17-HIF(JOR)(PEC),b,USFWS,2,FIS_ID=148074
20190012,2018,5,14,MI,MI,Ingalls Point,,45.069,-85.57,715,MM4,,LAT,LLW,50077,2017,y,16,ADCWT,98.7,641011,97.3,153.8,1514.999,1,LAT-LLW-17-SAR(IRR)(PEC),b,USFWS,2,FIS_ID=148084
20190013,2018,5,14,MI,MI,Lee's Reef,,44.893,-85.602,815,MM4,,LAT,LLW,50158,2017,y,16,ADCWT,98.7,641011,97.3,154.43,1536.771,1,LAT-LLW-17-SAR(IRR)(PEC),b,USFWS,2,FIS_ID=148093
20190014,2018,5,17,MI,MI,Point Betsie,,44.69,-86.256,911,MM5,,LAT,SLW,99701,2017,y,16,ADCWT,99.7,641038,97.5,161.47,3491.3,1,LAT-SLW-17-HIF(PEC),b,USFWS,2,FIS_ID=148103
20190015,2018,5,15,MI,MI,GTB Shoal,,45.134,-85.434,716,MM4,,LAT,LLW,55220,2017,y,16,ADCWT,98.7,641011,97.3,151.83,1603.449,1,LAT-LLW-17-SAR(IRR)(PEC),b,USFWS,2,FIS_ID=148105
20190016,2018,5,15,MI,MI,Torch Lake,,45.072,-85.377,716,MM4,,LAT,LLW,65176,2017,y,16,ADCWT,98.7,641011,97.3,151.83,1892.387,1,LAT-LLW-17-SAR(IRR)(PEC),b,USFWS,2,FIS_ID=148114
20190040,2018,4,29,MI,MI,Irishmen's Ground (reef summit),,45.504,-85.183,517,MM3,,LAT,HPW,47058,2017,y,14,ADCWT,100,641051,98,142.16,1018.95,1,LAT-HPW-17-SUC-IRR,b,USFWS,2,FIS_ID=154923
20190041,2018,4,29,MI,MI,Irishmen's Ground (reef summit),,45.504,-85.183,517,MM3,,LAT,LLW,47103,2017,y,14,ADCWT,99.7,641045,96,145.46,1092.704,1,LAT-LLW-17-SAR-IRR,b,USFWS,2,FIS_ID=154953
20190042,2018,4,29,MI,MI,Irishmen's Ground (reef summit),,45.504,-85.183,517,MM3,,LAT,SLW,47124,2017,y,14,ADCWT,100,641048,96.3,146.22,1110.394,1,LAT-SLW-17-SUC-IRR,b,USFWS,2,FIS_ID=154973
20190043,2018,5,2,MI,MI,Big Reef (reef summit),,45.44,-85.364,516,MM3,,LAT,HPW,47088,2017,y,14,ADCWT,100,641052,97.3,145.28,1088.168,1,LAT-HPW-17-SUC-IRR,b,USFWS,2,FIS_ID=154983
20190044,2018,5,2,MI,MI,Big Reef (reef summit),,45.44,-85.364,516,MM3,,LAT,LLW,47055,2017,y,14,ADCWT,100,641046,95.7,139.69,966.696,1,LAT-LLW-17-SAR-IRR,b,USFWS,2,FIS_ID=154993
20190045,2018,5,2,MI,MI,Big Reef (reef summit),,45.44,-85.364,516,MM3,,LAT,SLW,46968,2017,y,14,ADCWT,100,641049,92.7,144.03,1057.777,1,LAT-SLW-17-SUC-IRR,b,USFWS,2,FIS_ID=155023
20190046,2018,5,5,MI,MI,Middle Ground (reef summit),,45.479,-85.683,514,MM3,,LAT,LLW,46781,2017,y,14,ADCWT,100,641047,97,145.79,1092.568,1,LAT-LLW-17-SAR-IRR,b,USFWS,2,FIS_ID=155043
20190047,2018,5,5,MI,MI,Middle Ground (reef summit),,45.479,-85.683,514,MM3,,LAT,HPW,47047,2017,y,14,ADCWT,99.7,641053,96.7,138.7,946.194,1,LAT-HPW-17-SUC-IRR,b,USFWS,2,FIS_ID=155063
20190048,2018,5,5,MI,MI,Middle Ground (reef summit),,45.479,-85.683,514,MM3,,LAT,SLW,47140,2017,y,14,ADCWT,100,641050,97,140.66,988.831,1,LAT-SLW-17-SUC-IRR,b,USFWS,2,FIS_ID=155073
20190049,2018,5,7,MI,MI,Elk Rapids,,44.905,-85.417,816,MM4,,LAT,LLW,90462,2017,y,14,ADCWT,100,640908,98,149.36,2271.681,1,LAT-LLW-17-SAR-IRR,b,USFWS,2,FIS_ID=155163
20190050,2018,5,24,MI,IL,Julian's Reef (side of reef),,42.216,-87.532,2403,ILL,,LAT,LLW,60270,2017,y,15,ADCWT,98.3,641007,96.7,155.66,1713.491,1,LAT-LLW-17-SAR-IRR,b,USFWS,2,FIS_ID=155175
20190051,2018,5,24,MI,IL,Julian's Reef (side of reef),,42.216,-87.532,2403,ILL,,LAT,SLW,60215,2017,y,15,ADCWT,99.7,641005,97,153.13,1629.576,1,LAT-SLW-17-SUC-IRR,b,USFWS,2,FIS_ID=155203
20190052,2018,5,26,MI,WI,"Sheboygan Reef (reef summit, Wisconsin waters)",,43.339,-87.153,1706,WM5,,LAT,SLW,50321,2017,y,15,ADCWT,100,641070,95.7,154.93,1410.445,1,LAT-SLW-17-SUC-IRR,b,USFWS,2,FIS_ID=155224
20190053,2018,5,26,MI,WI,"Sheboygan Reef (reef summit, Wisconsin waters)",,43.339,-87.153,1706,WM5,,LAT,SKW,100570,2017,y,16,ADCWT,100,641017,99,161.07,3167.549,1,LAT-SKW-17-IRR,b,USFWS,2,FIS_ID=155243
20190054,2018,5,28,MI,MI,Sheboygan Reef (MI Waters),,43.3341683,-87.0817566,1706,MM7,,LAT,SKW,100227,2017,y,16,ADCWT,100,641018,98.3,163.17,3281.786,1,LAT-SKW-17-IRR,b,USFWS,2,FIS_ID=155255
20190055,2018,5,28,MI,MI,Sheboygan Reef (MI Waters),,43.3341683,-87.0817566,1706,MM7,,LAT,SLW,50397,2017,y,16,ADCWT,100,641066,98,152.93,1358.6,1,LAT-SLW-17-SUC-IRR,b,USFWS,2,FIS_ID=155283
20190056,2018,4,5,MI,MI,Ludington Coast Guard Station,,43.952,-86.462,1410,MM6,,LAT,LLW,40100,2017,y,14,ADCWT,99,640245,96.8,157.06,1290.017,1,LAT-LLW-17-SAR-JOR,t,USFWS,2,FIS_ID=155563
20190057,2018,4,9,MI,MI,Manistee Harbor,,44.25,-86.343,1210,MM6,,LAT,LLW,40060,2017,y,14,ADCWT,95.9,640244,96.5,158.19,1316.779,1,LAT-LLW-17-SAR-JOR,t,USFWS,2,FIS_ID=155593
20190062,2018,5,30,MI,MI,Sheboygan Reef (MI Waters),,43.3341683,-87.0817566,1706,MM7,,LAT,LLW,54717,2017,y,15,ADCWT,98.4,641016,96.1,177.91,2558.715,1,LAT-LLW-17-SAR-JOR,b,USFWS,2,FIS_ID=155723
20190063,2018,5,30,MI,MI,Sheboygan Reef (MI Waters),,43.3341683,-87.0817566,1706,MM7,,LAT,LLW,4753,2017,y,15,ADCWT,98.4,640216,96.1,177.91,222.26,1,LAT-LLW-17-SAR-JOR,b,USFWS,2,FIS_ID=155743
20190064,2018,6,2,MI,MI,High Island (side of reef),,45.71,-85.74,314,MM3,,LAT,SLW,40166,2017,y,16,ADCWT,99.3,641029,96.4,171.13,1671.488,1,LAT-SLW-17-HIF-JOR,b,USFWS,2,FIS_ID=155763
20190065,2018,6,2,MI,MI,High Island (side of reef),,45.71,-85.74,314,MM3,,LAT,LLW,40346,2017,y,16,ADCWT,98.4,641025,98.4,179.15,1926.407,1,LAT-LLW-17-SAR-JOR,b,USFWS,2,FIS_ID=155783
20190066,2018,6,2,MI,MI,High Island (side of reef),,45.71,-85.74,314,MM3,,LAT,HPW,40104,2017,y,16,ADCWT,97,641034,97.7,170.09,1638.829,1,LAT-HPW-17-HIF-JOR,b,USFWS,2,FIS_ID=155813
20190067,2018,6,3,MI,MI,Boulder Reef (side of reef),,45.58,-85.96,413,MM3,,LAT,SLW,39981,2017,y,16,ADCWT,99.7,641030,98,171.13,1663.777,1,LAT-SLW-17-HIF-JOR,b,USFWS,2,FIS_ID=155833
20190068,2018,6,3,MI,MI,Boulder Reef (side of reef),,45.58,-85.96,413,MM3,,LAT,LLW,39994,2017,y,16,ADCWT,98.7,641026,96.3,178.53,1889.666,1,LAT-LLW-17-SAR-JOR,b,USFWS,2,FIS_ID=155853
20190069,2018,6,3,MI,MI,Boulder Reef (side of reef),,45.58,-85.96,413,MM3,,LAT,HPW,40061,2017,y,16,ADCWT,100,641033,97.5,172.19,1698.25,1,LAT-HPW-17-HIF-JOR,b,USFWS,2,FIS_ID=155863
20190070,2018,6,5,MI,MI,Trout Island (reef summit),,45.776,-85.738,314,MM3,,LAT,SLW,40204,2017,y,16,ADCWT,98,641032,96.7,173.27,1736.805,1,LAT-SLW-17-HIF-JOR,b,USFWS,2,FIS_ID=155883
20190071,2018,6,5,MI,MI,Trout Island (reef summit),,45.776,-85.738,314,MM3,,LAT,HPW,40206,2017,y,16,ADCWT,99.4,641036,98.1,172.73,1720.476,1,LAT-HPW-17-HIF-JOR,b,USFWS,2,FIS_ID=155895
